"","Codigos","Anno","nombrePais","ratio","PIB","ENERGIA","RENOVABLE","poblacion","ren.por.habitante","ren.por.PIB"
"203","NL","2010","Países Bajos",9.6,631512,108000,10368,16574989,1.24,1.04
"204","NL","2011","Países Bajos",9.8,642929,108148,10598.5,16655799,1.26,1.05
"205","NL","2012","Países Bajos",10.4,645164,104006,10816.62,16730348,1.28,1.06
"206","NL","2013","Países Bajos",10,652748,104373,10437.3,16779575,1.23,1.01
"207","NL","2014","Países Bajos",10,663008,101630,10163,16829289,1.19,0.97
"208","NO","2006","Noruega",100.2,275289.8,107399,107613.8,4640219,45.88,24.8
"209","NO","2007","Noruega",98.5,293128,110650,108990.25,4681134,46.06,23.59
"210","NO","2008","Noruega",99.6,316813.6,112021,111572.92,4737171,46.6,22.34
"211","NO","2009","Noruega",104.7,278386.1,107287,112329.49,4799252,46.31,25.6
"212","NO","2010","Noruega",97.9,323587.2,113451,111068.53,4858199,45.23,21.77
"213","NO","2011","Noruega",105.5,358248.4,107389,113295.4,4920305,45.56,20.06
"214","NO","2012","Noruega",104.4,396678,110778,115652.23,4985870,45.89,18.49
"215","NO","2013","Noruega",106.9,393397.2,111699,119406.23,5051275,46.77,19.25
"216","NO","2014","Noruega",109.6,375894.3,108409,118816.26,5107970,46.02,20.05
"217","PL","2006","Polonia",3,274602.5,111051,3331.53,38157055,0.17,0.77
"218","PL","2007","Polonia",3.5,313874,114507,4007.74,38125479,0.21,0.81
"219","PL","2008","Polonia",4.4,366182.3,117606,5174.66,38115641,0.27,0.9
"220","PL","2009","Polonia",5.8,317082.9,112695,6536.31,38135876,0.34,1.31
"221","PL","2010","Polonia",6.6,361803.6,119063,7858.16,38022869,0.41,1.38
"222","PL","2011","Polonia",8.2,380239,121975,10001.95,38062718,0.52,1.67
"223","PL","2012","Polonia",10.7,389368.9,122674,13126.12,38063792,0.68,2.14
"224","PL","2013","Polonia",10.7,394721.1,124095,13278.17,38062535,0.69,2.13
"225","PL","2014","Polonia",12.4,410989.7,125863,15607.01,38017856,0.81,2.41
"226","PT","2006","Portugal",29.3,166248.7,47763,13994.56,10511988,2.63,5.34
"227","PT","2007","Portugal",32.3,175467.7,49024,15834.75,10532588,2.97,5.72
"228","PT","2008","Portugal",34.1,178872.6,48352,16488.03,10553339,3.09,5.85
"229","PT","2009","Portugal",37.6,175448.2,47855,17993.48,10563014,3.37,6.51
"230","PT","2010","Portugal",40.7,179929.8,49888,20304.42,10573479,3.8,7.16
"231","PT","2011","Portugal",45.9,176166.6,48364,22199.08,10572721,4.15,7.99
"232","PT","2012","Portugal",47.6,168398,46241,22010.72,10542398,4.13,8.29
"233","PT","2013","Portugal",49.1,170269.3,45257,22221.19,10487289,4.19,8.28
"234","PT","2014","Portugal",52.1,173079.1,45195,23546.6,10427301,4.47,8.63
"235","RO","2006","Rumanía",28.1,98418.6,40965,11511.17,21257016,1.07,7.42
"236","RO","2007","Rumanía",28.1,125403.4,40974,11513.69,21130503,1.08,5.82
"237","RO","2008","Rumanía",28.1,142396.3,41813,11749.45,20635460,1.13,5.23
